"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Malawi","International Monetary Fund, Total",2018,31572340,,,,31572340,0,"International Monetary Fund, Total"
"Mali","World Bank Group, Total",2018,189767805,"worldbank",367429069,2019,367429069,1,"World Bank Group, Total"
"Mali","EU Institutions",2018,235001466,"ec-devco",195504137.643881,2018,235001466,1,"EU Institutions"
"Mali","United States",2018,216610340,"unitedstates",181757626.29,2017,216610340,1,"United States"
"Mali","International Monetary Fund, Total",2018,134430210,,,,134430210,0,"International Monetary Fund, Total"
"Mali","Germany",2018,126270687,"bmz",114364935.553374,2019,126270687,1,"Germany"
"Mali","France",2018,94142293,"afd",117694987.47818,2018,117694987.47818,1,"France"
"Mali","Canada",2018,86304636,"gac-amc",86667450.9281698,2017,86667450.9281698,1,"Canada"
"Mali","WFP",2018,12888457,"wfp",83659829,2018,83659829,1,"WFP"
"Mali","UNICEF",2018,18482070,"unicef",72881057,2017,72881057,1,"UNICEF"
"Mali","Netherlands",2018,48934563,"minbuza_nl",50169160.19,2018,50169160.19,1,"Netherlands"
"Mali","African Development Bank, Total",2018,48656492,"afdb",40604286.523959,2017,48656492,1,"African Development Bank, Total"
"Mali","Sweden",2018,47553543,"sida",45902289.205301,2018,47553543,1,"Sweden"
"Mali","IFRCRCS",,,"icrc",45630028.434046,2018,45630028.434046,1,"IFRCRCS"
"Mali",,,,"unops",45343853,2019,45343853,1,"unops"
"Mali","Global Fund",2018,44105182,"theglobalfund",44217344.42,2017,44217344.42,1,"Global Fund"
"Moldova","EU Institutions",2018,120264867,"ec-devco",107943523.405308,2017,120264867,1,"EU Institutions"
"Moldova","World Bank Group, Total",2018,7416376,"worldbank",43802421,2018,43802421,1,"World Bank Group, Total"
"Moldova","United States",2018,38373820,"unitedstates",36032509.8,2018,38373820,1,"United States"
"Moldova","Romania",2018,37856343,,,,37856343,0,"Romania"
"Moldova","UNDP",2018,349644,"undp",18695738,2018,18695738,1,"UNDP"
"Moldova","Turkey",2018,16541010,,,,16541010,0,"Turkey"
"Moldova","Sweden",2018,16042010,"sida",15921227.568322,2018,16042010,1,"Sweden"
"Moldova","Switzerland",2018,11489974,"sdc_ch",13132237.8225,2017,13132237.8225,1,"Switzerland"
"Moldova","Germany",2018,13014110,"bmz",5907500,2018,13014110,1,"Germany"
"Moldova","International Monetary Fund, Total",2018,11326400,,,,11326400,0,"International Monetary Fund, Total"
"Moldova","Global Fund",2018,6725359,"theglobalfund",10818316.63,2017,10818316.63,1,"Global Fund"
"Moldova","World Health Organisation [WHO]",2018,665057,"who",5913061.06,2017,5913061.06,1,"World Health Organisation [WHO]"
"Moldova","IFAD",2018,3817342,"ifad",5128495.833862,2019,5128495.833862,1,"IFAD"
"Moldova",,,,"pin",4721946.957384,2019,4721946.957384,1,"pin"
"Moldova",,,,"dggf_financing_local_smes",4492400,2019,4492400,1,"dggf_financing_local_smes"
"Montenegro","EU Institutions",2018,166300851,"ec-devco",44375538.248008,2019,166300851,1,"EU Institutions"
"Montenegro","Germany",2018,19844765,"bmz",71950751.292486,2019,71950751.292486,1,"Germany"
"Montenegro",,,,"eib",44924000,2019,44924000,1,"eib"
"Montenegro","World Bank Group, Total",,,"worldbank",11874893,2019,11874893,1,"World Bank Group, Total"
"Montenegro","UNDP",2018,151042,"undp",9499165,2018,9499165,1,"UNDP"
"Montenegro","European Bank for Reconstruction and Development [EBRD]",,,"ebrd",8967316.320446,2019,8967316.320446,1,"European Bank for Reconstruction and Development [EBRD]"
"Montenegro","United States",2018,2289410,"unitedstates",4394693.66,2017,4394693.66,1,"United States"
"Montenegro","UNICEF",2018,940393,"unicef",2408962,2018,2408962,1,"UNICEF"
"Montenegro","Norway",2018,1967548,"norad",1910668.209,2019,1967548,1,"Norway"
"Montenegro","IFAD",2018,566150,"ifad",1772250,2018,1772250,1,"IFAD"
"Montenegro","OSCE",2018,1730214,,,,1730214,0,"OSCE"
"Montenegro","Slovenia",2018,1605390,,,,1605390,0,"Slovenia"
"Montenegro","Turkey",2018,1528910,,,,1528910,0,"Turkey"
"Montenegro","United Kingdom",2018,1348806,"dfid",857301.28045949,2017,1348806,1,"United Kingdom"
"Montenegro","Austria",2018,1303239,,,,1303239,0,"Austria"
"Myanmar","Japan",2018,536900920,,,,536900920,0,"Japan"
